Venmo 'Venmo Everything',,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SLATE INFORMATION,,,,,SHIPPING DATE KEY,,,,,,,,,,,
Agency: ,72andSunny,,,,1st SHIP DATE - 5/21,,,,,,,,,,,
Client:,Venmo,,,,2nd SHIP DATE - 5/27,,,,,,,,,,,
Product: ,Venmo Debit Card and Pay with Venmo,,,,3rd SHIP DATE - 5/29 / 5/30,,,,,,,,,,,
Title: ,Spend With Venmo,,,,4th SHIP DATE - 6/2,,,,,,,,,,,
ISCI: ,VENM5003000H,,,,5th SHIP DATE - 6/4,,,,,,,,,,,
Duration: ,30 Seconds,,,,6th SHIP DATE - 6/6,,,,,,,,,,,
Audio: ,Broadcast Stereo,,,,DELIVERED,,,,,,,,,,,
Date: ,5/27/25,,,,,,,,,,,,,,,
Copyright: ,©2025 Venmo. All rights reserved. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ship Date ,Shipped,Title / Version,Delivery Platform,ISCI / AD-ID,File Name,Length,Subtitles,Frame Rate,Aspect Ratio,Audio Mix: Broadcast / Web,Legal,Slated / Unslated,Flame Exports Needed,Reviewed By,Specs,Delivery Link
SMOOTHIE / SIP IT TEASER 15,,,,,,,,,,,,,,,,"https://f.io/rZgL1xh5
"
5/21,TRUE,,Youtube,,VENMO BRAND_VENMO EVERYTHING_SIP IT TEASER_15_16x9_YOUTUBE_05212025,15,,23.98,16x9,Web Stereo,N/A,Unslated,X,TM/PC,YouTube,
5/21,TRUE,SIP IT TEASER :15 9x16 ,TikTok,,VENMO BRAND_VENMO EVERYTHING_SIP IT TEASER_15_9x16_TT_05212025,15,,23.98,9x16,Web Stereo,N/A,Unslated,X,TM/PC,TikTok + YouTube Shorts,
5/21,TRUE,SIP IT TEASER 9x16,IG Stories,,VENMO BRAND_VENMO EVERYTHING_SIP IT TEASER_15_9x16_IGS_05212025,15,,23.98,9x16,Web Stereo,N/A,Unslated,X,TM/PC,Stories (Vertical) ,
5/21,TRUE,GENERIC SIP IT TEASER :15 16x9,,,GENERIC_VENMO BRAND_VENMO EVERYTHING_SIP IT TEASER_15_16x9_05212025,15,,23.98,16x9,Web Stereo,N/A,Unslated,X,TM/PC,ProRes Unslated,
5/21,TRUE,GENERIC SIP IT TEASER :15 9x16,,,GENERIC_VENMO BRAND_VENMO EVERYTHING_SMOOTHIE_15_9x16_05212025,15,,23.98,9x16,Web Stereo,N/A,Unslated,X,TM/PC,ProRes Unslated,
5/29,TRUE,SLATED SIP IT TEASER :15 16x9,,,SLATED_VENMO BRAND_VENMO EVERYTHING_SIP IT TEASER_15_16x9_05212025,15,,23.98,16x9,Web Stereo,N/A,Slated,X,,Under 100 mb,
VENMO EVERYTHING :30,,,,,,,,,,,,,,,,"https://f.io/rZgL1xh5
"
5/28,TRUE,VENMO EVERYTHING :30 16x9 ,OTT,VENM5003000H,VENMO BRAND_VENMO EVERYTHING_HERO 30_16x9_TV_05272025,30,,23.98,16x9,Broadcast Stereo,"VDC: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted.

NEW CASH BACK DISCLAIMER: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted. Max $8 avail. monthly per merchant. See Terms. Venmo purchase restrictions apply.

PWV: Venmo purchase restrictions apply.",Slated & Unslated,X,,"OTT SPECS HERE - ASPECT RATIO: 16x9
RESOULTION:  1920 x 1080
ProRes422 HQ",
5/27,TRUE,VENMO EVERYTHING :30 16x9 ,OTT,VENM5003000H,VENMO BRAND_VENMO EVERYTHING_HERO 30_16x9_TV_05272025,30,,23.98,16x9,Broadcast Stereo,"VDC: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted.

NEW CASH BACK DISCLAIMER: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted. Max $8 avail. monthly per merchant. See Terms. Venmo purchase restrictions apply.

PWV: Venmo purchase restrictions apply.",Unslated,X,TM/PC,"OTT SPECS HERE - ASPECT RATIO: 16x9
RESOULTION:  1920 x 1080
ProRes422 HQ",
5/27,TRUE,VENMO EVERYTHING :30 16x9 ,Youtube,,VENMO BRAND_VENMO EVERYTHING_HERO 30_16x9_YOUTUBE_05272025,30,,23.98,16x9,Web Stereo,"VDC: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted.

NEW CASH BACK DISCLAIMER: The Venmo Mastercard® is issued by The Bancorp Bank, N.A., pursuant to license by Mastercard International Incorporated. Card may be used everywhere Mastercard is accepted. Max $8 avail. monthly per merchant. See Terms. Venmo purchase restrictions apply.

PWV: Venmo purchase restrictions apply.",Unslated,X,TM/PC,Youtube,
